Date & Time,companyName,previousOpen,dayLow,dayHigh,currentValue
04/Jun/2021 | 05:47:32,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:47:42,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:47:52,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:48:02,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:48:13,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:48:23,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:48:33,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:48:43,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:48:53,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:49:03,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:49:13,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:49:23,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2189.15
04/Jun/2021 | 05:49:33,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.25
04/Jun/2021 | 05:49:44,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.25
04/Jun/2021 | 05:49:54,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.25
04/Jun/2021 | 05:50:04,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.25
04/Jun/2021 | 05:50:14,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.25
04/Jun/2021 | 05:50:24,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:50:34,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:50:44,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:50:54,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:51:05,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:51:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:51:26,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.70
04/Jun/2021 | 05:51:36,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:51:46,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:51:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:52:06,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:52:16,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:52:26,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2186.50
04/Jun/2021 | 05:52:36,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.00
04/Jun/2021 | 05:52:46,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.00
04/Jun/2021 | 05:52:56,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.00
04/Jun/2021 | 05:53:07,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.00
04/Jun/2021 | 05:53:17,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.00
04/Jun/2021 | 05:53:27,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:53:37,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:53:47,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:53:57,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:54:08,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:54:18,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:54:28,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2190.40
04/Jun/2021 | 05:54:38,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
04/Jun/2021 | 05:54:48,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
04/Jun/2021 | 05:54:59,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
04/Jun/2021 | 05:55:09,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
